,ip,country,region,city,lat,long,count
0,66.249.76.216,US,California,Mountain View,37.3893889,-122.0832101,46382
1,5.255.253.53,RU,Moscow,Moscow,55.7504461,37.6174943,249
2,157.55.35.112,CA,Ontario,Toronto,43.6534817,-79.3839347,131
3,193.111.141.116,NL,North Holland,Amsterdam (Nieuwmarkt en Lastage),None,None,7
4,5.10.83.71,US,New Jersey,Bridgewater Township,40.596061000000006,-74.6038607920825,115
5,180.76.5.223,CN,Beijing,Beijing,39.906217,116.3912757,50
6,180.76.6.148,CN,Beijing,Beijing,39.906217,116.3912757,43
7,180.76.5.188,CN,Beijing,Beijing,39.906217,116.3912757,38
8,180.76.6.135,CN,Beijing,Beijing,39.906217,116.3912757,51
9,180.76.6.44,CN,Beijing,Beijing,39.906217,116.3912757,36
10,180.76.5.172,CN,Beijing,Beijing,39.906217,116.3912757,35
11,180.76.5.18,CN,Beijing,Beijing,39.906217,116.3912757,51
12,157.56.92.174,CA,Ontario,Toronto,43.6534817,-79.3839347,176
13,74.86.158.107,US,Illinois,Chicago,41.8755616,-87.6244212,810
14,180.76.6.136,CN,Beijing,Beijing,39.906217,116.3912757,40
15,5.10.83.87,US,New Jersey,Bridgewater Township,40.596061000000006,-74.6038607920825,96
16,5.10.83.21,VG,Tortola,Road Town,18.42105685,-64.63883251023499,113
17,5.10.83.31,VG,Tortola,Road Town,18.42105685,-64.63883251023499,76
18,180.76.5.64,CN,Beijing,Beijing,39.906217,116.3912757,31
19,180.76.5.31,CN,Beijing,Beijing,39.906217,116.3912757,43
20,180.76.5.27,CN,Beijing,Beijing,39.906217,116.3912757,39
21,180.76.5.65,CN,Beijing,Beijing,39.906217,116.3912757,26
22,157.55.33.97,CA,Ontario,Toronto,43.6534817,-79.3839347,164
23,217.12.28.5,ES,Andalusia,Seville,37.3886303,-5.9953403,15
24,180.76.6.64,CN,Beijing,Beijing,39.906217,116.3912757,30
25,5.10.83.64,US,New Jersey,Bridgewater Township,40.596061000000006,-74.6038607920825,95
26,180.76.5.195,CN,Beijing,Beijing,39.906217,116.3912757,36
27,180.76.6.40,CN,Beijing,Beijing,39.906217,116.3912757,33
28,180.76.5.200,CN,Beijing,Beijing,39.906217,116.3912757,31
29,131.253.24.3,US,Virginia,Ashburn,39.030019100000004,-77.46964646557657,9
30,199.30.20.223,US,Virginia,Ashburn,39.030019100000004,-77.46964646557657,6
31,180.76.6.50,CN,Beijing,Beijing,39.906217,116.3912757,37
32,180.76.5.168,CN,Beijing,Beijing,39.906217,116.3912757,28
33,157.55.32.88,CA,Ontario,Toronto,43.6534817,-79.3839347,155
34,5.10.83.88,US,New Jersey,Bridgewater Township,40.596061000000006,-74.6038607920825,104
35,180.76.5.23,CN,Beijing,Beijing,39.906217,116.3912757,32
36,180.76.5.145,CN,Beijing,Beijing,39.906217,116.3912757,34
37,180.76.6.16,CN,Beijing,Beijing,39.906217,116.3912757,43
38,176.31.255.177,FR,Hauts-de-France,Roubaix,50.6915893,3.1741734,1044
39,185.10.104.131,DE,Hesse,Frankfurt am Main,50.1106444,8.6820917,11
40,180.76.6.55,CN,Beijing,Beijing,39.906217,116.3912757,37
41,180.76.5.95,CN,Beijing,Beijing,39.906217,116.3912757,48
42,180.76.6.59,CN,Beijing,Beijing,39.906217,116.3912757,44
43,157.55.33.26,CA,Ontario,Toronto,43.6534817,-79.3839347,131
44,180.76.5.213,CN,Beijing,Beijing,39.906217,116.3912757,35
45,192.81.215.7,US,New Jersey,North Bergen,40.8042674,-74.012084,20
46,180.76.6.133,CN,Beijing,Beijing,39.906217,116.3912757,37
