ip;country;region;city;lat;long
66.249.76.216;US;California;Mountain View;37.3893889;-122.0832101
5.255.253.53;RU;Moscow;Moscow;55.7504461;37.6174943
157.55.35.112;CA;Ontario;Toronto;43.6534817;-79.3839347
193.111.141.116;NL;North Holland;Amsterdam (Nieuwmarkt en Lastage);None;None
5.10.83.71;US;New Jersey;Bridgewater Township;40.596061000000006;-74.6038607920825
180.76.5.223;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.148;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.188;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.135;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.44;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.172;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.18;CN;Beijing;Beijing;39.906217;116.3912757
157.56.92.174;CA;Ontario;Toronto;43.6534817;-79.3839347
74.86.158.107;US;Illinois;Chicago;41.8755616;-87.6244212
180.76.6.136;CN;Beijing;Beijing;39.906217;116.3912757
5.10.83.87;US;New Jersey;Bridgewater Township;40.596061000000006;-74.6038607920825
5.10.83.21;VG;Tortola;Road Town;18.42105685;-64.63883251023499
5.10.83.31;VG;Tortola;Road Town;18.42105685;-64.63883251023499
180.76.5.64;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.31;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.27;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.65;CN;Beijing;Beijing;39.906217;116.3912757
157.55.33.97;CA;Ontario;Toronto;43.6534817;-79.3839347
217.12.28.5;ES;Andalusia;Seville;37.3886303;-5.9953403
180.76.6.64;CN;Beijing;Beijing;39.906217;116.3912757
5.10.83.64;US;New Jersey;Bridgewater Township;40.596061000000006;-74.6038607920825
180.76.5.195;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.40;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.200;CN;Beijing;Beijing;39.906217;116.3912757
131.253.24.3;US;Virginia;Ashburn;39.030019100000004;-77.46964646557657
199.30.20.223;US;Virginia;Ashburn;39.030019100000004;-77.46964646557657
180.76.6.50;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.168;CN;Beijing;Beijing;39.906217;116.3912757
157.55.32.88;CA;Ontario;Toronto;43.6534817;-79.3839347
5.10.83.88;US;New Jersey;Bridgewater Township;40.596061000000006;-74.6038607920825
180.76.5.23;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.145;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.16;CN;Beijing;Beijing;39.906217;116.3912757
176.31.255.177;FR;Hauts-de-France;Roubaix;50.6915893;3.1741734
185.10.104.131;DE;Hesse;Frankfurt am Main;50.1106444;8.6820917
180.76.6.55;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.95;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.59;CN;Beijing;Beijing;39.906217;116.3912757
157.55.33.26;CA;Ontario;Toronto;43.6534817;-79.3839347
180.76.5.213;CN;Beijing;Beijing;39.906217;116.3912757
192.81.215.7;US;New Jersey;North Bergen;40.8042674;-74.012084
180.76.6.133;CN;Beijing;Beijing;39.906217;116.3912757
5.10.83.52;SE;Stockholm;Kista;59.403311;17.9442849
174.129.237.157;US;Virginia;Ashburn;39.030019100000004;-77.46964646557657
180.76.5.38;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.177;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.21;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.159;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.199;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.157;CN;Beijing;Beijing;39.906217;116.3912757
157.55.32.183;CA;Ontario;Toronto;43.6534817;-79.3839347
180.76.6.146;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.130;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.230;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.156;CN;Beijing;Beijing;39.906217;116.3912757
5.10.83.73;US;New Jersey;Bridgewater Township;40.596061000000006;-74.6038607920825
5.10.83.46;SE;Stockholm;Kista;59.403311;17.9442849
180.76.5.201;CN;Beijing;Beijing;39.906217;116.3912757
5.10.83.51;SE;Stockholm;Kista;59.403311;17.9442849
185.10.104.194;DE;Hesse;Frankfurt am Main;50.1106444;8.6820917
162.243.192.191;US;New York;New York;40.7127281;-74.0060152
180.76.5.69;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.203;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.21;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.134;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.220;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.193;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.143;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.154;CN;Beijing;Beijing;39.906217;116.3912757
74.86.158.106;US;Illinois;Chicago;41.8755616;-87.6244212
180.76.5.22;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.45;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.171;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.148;CN;Beijing;Beijing;39.906217;116.3912757
66.249.75.208;US;California;Mountain View;37.3893889;-122.0832101
180.76.5.192;CN;Beijing;Beijing;39.906217;116.3912757
5.10.83.22;VG;Tortola;Road Town;18.42105685;-64.63883251023499
157.55.35.43;CA;Ontario;Toronto;43.6534817;-79.3839347
180.76.6.62;CN;Beijing;Beijing;39.906217;116.3912757
217.16.255.159;ES;Canary Islands;Agüimes;27.9049541;-15.4445131
180.76.5.144;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.176;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.98;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.116;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.63;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.65;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.57;CN;Beijing;Beijing;39.906217;116.3912757
46.161.41.24;RU;St.-Petersburg;St Petersburg;59.938732;30.316229
180.76.5.29;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.233;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.56;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.152;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.155;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.153;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.151;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.175;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.187;CN;Beijing;Beijing;39.906217;116.3912757
217.12.28.130;ES;Andalusia;Seville;37.3886303;-5.9953403
180.76.5.197;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.81;CN;Beijing;Beijing;39.906217;116.3912757
202.46.61.29;CN;Guangdong;Shenzhen (Luohu Qu);22.53448735;114.11211071792144
119.63.193.195;JP;Tokyo;Minato-ku;35.6432274;139.7400553
180.76.5.78;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.54;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.156;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.46;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.152;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.14;CN;Beijing;Beijing;39.906217;116.3912757
93.186.202.198;DE;North Rhine-Westphalia;Düsseldorf (Stadtbezirk 06);51.2082165;6.7636478
180.76.6.60;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.132;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.170;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.28;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.59;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.147;CN;Beijing;Beijing;39.906217;116.3912757
64.71.199.139;US;Iowa;Cedar Rapids (Oakhill Jackson);None;None
64.71.198.139;US;Iowa;Cedar Rapids (Oakhill Jackson);None;None
180.76.6.53;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.190;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.96;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.39;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.167;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.204;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.17;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.42;CN;Beijing;Beijing;39.906217;116.3912757
190.40.142.14;PE;Lima region;San Borja;-12.09645155;-76.99568986771155
180.76.5.158;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.48;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.189;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.191;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.149;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.173;CN;Beijing;Beijing;39.906217;116.3912757
180.76.5.24;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.150;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.141;CN;Beijing;Beijing;39.906217;116.3912757
180.76.6.131;CN;Beijing;Beijing;39.906217;116.3912757
